iter	Passed	Remaining
0	61	61167
1	62	31000
2	64	21564
3	67	16715
4	68	13726
5	70	11711
6	72	10237
7	73	9130
8	75	8284
9	76	7611
10	77	6990
11	79	6519
12	80	6132
13	82	5797
14	83	5508
15	85	5250
16	87	5053
17	87	4789
18	89	4607
19	90	4414
20	91	4265
21	92	4103
22	93	3992
23	95	3879
24	96	3776
25	98	3679
26	99	3592
27	101	3510
28	102	3441
29	104	3365
30	105	3295
31	106	3233
32	108	3180
33	109	3123
34	111	3070
35	112	3019
36	113	2954
37	115	2913
38	116	2871
39	118	2833
40	119	2797
41	120	2759
42	122	2722
43	123	2685
44	125	2659
45	126	2616
46	127	2586
47	128	2557
48	130	2527
49	131	2502
50	133	2478
51	134	2453
52	135	2429
53	137	2405
54	138	2384
55	140	2363
56	141	2343
57	143	2323
58	144	2302
59	145	2283
60	147	2264
61	148	2247
62	150	2231
63	151	2215
64	152	2199
65	154	2182
66	155	2167
67	157	2153
68	158	2137
69	159	2122
70	161	2106
71	161	2085
72	162	2061
73	163	2048
74	165	2035
75	166	2023
76	167	2011
77	169	1999
78	170	1988
79	171	1976
80	173	1967
81	174	1956
82	176	1947
83	177	1936
84	179	1927
85	179	1911
86	181	1902
87	181	1885
88	183	1876
89	184	1867
90	186	1858
91	187	1850
92	188	1842
93	189	1829
94	191	1820
95	191	1807
96	193	1798
97	194	1791
98	196	1784
99	197	1777
100	198	1769
101	200	1762
102	201	1755
103	202	1748
104	204	1741
105	205	1735
106	207	1728
107	208	1723
108	210	1716
109	211	1710
110	212	1704
111	214	1698
112	215	1692
113	216	1686
114	218	1680
115	219	1674
116	221	1669
117	222	1664
118	223	1654
119	224	1648
120	226	1643
121	227	1637
122	229	1632
123	230	1627
124	231	1621
125	233	1616
126	234	1611
127	235	1606
128	237	1604
129	239	1599
130	240	1596
131	241	1591
132	243	1586
133	244	1580
134	246	1576
135	247	1572
136	248	1567
137	250	1562
138	251	1558
139	253	1554
140	254	1550
141	256	1547
142	257	1542
143	258	1538
144	260	1533
145	261	1530
146	263	1527
147	264	1523
148	265	1518
149	267	1518
150	269	1514
151	270	1510
152	272	1506
153	273	1503
154	275	1501
155	277	1498
156	279	1498
157	280	1496
158	282	1492
159	283	1489
160	285	1488
161	287	1484
162	288	1482
163	290	1478
164	291	1475
165	292	1471
166	294	1467
167	295	1464
168	296	1460
169	298	1456
170	299	1452
171	301	1449
172	302	1447
173	304	1443
174	305	1440
175	306	1437
176	308	1433
177	309	1430
178	311	1427
179	312	1425
180	314	1422
181	315	1419
182	317	1416
183	318	1413
184	320	1409
185	321	1406
186	322	1402
187	324	1400
188	325	1398
189	327	1394
190	328	1391
191	329	1388
192	331	1385
193	332	1383
194	334	1380
195	335	1377
196	337	1373
197	338	1370
198	339	1367
199	341	1364
200	342	1361
201	343	1358
202	345	1356
203	346	1352
204	348	1349
205	349	1347
206	350	1344
207	351	1338
208	352	1335
209	354	1333
210	355	1328
211	356	1325
212	358	1322
213	359	1320
214	361	1318
215	362	1315
216	364	1313
217	365	1310
218	366	1308
219	368	1305
220	369	1302
221	370	1299
222	372	1297
223	373	1295
224	375	1292
225	376	1289
226	378	1287
227	379	1284
228	380	1282
229	382	1279
230	383	1278
231	385	1275
232	386	1272
233	388	1270
234	389	1268
235	390	1265
236	392	1262
237	393	1260
238	395	1258
239	396	1256
240	398	1253
241	399	1251
242	400	1248
243	402	1245
244	403	1243
245	404	1241
246	406	1238
247	407	1235
248	408	1233
249	410	1230
250	411	1228
251	412	1225
252	414	1223
253	415	1221
254	417	1218
255	418	1216
256	419	1213
257	421	1211
258	422	1209
259	424	1206
260	425	1204
261	426	1202
262	428	1199
263	429	1197
264	431	1195
265	432	1193
266	433	1190
267	435	1188
268	436	1186
269	438	1184
270	439	1182
271	440	1180
272	442	1178
273	443	1175
274	445	1173
275	446	1171
276	447	1169
277	449	1167
278	450	1164
279	452	1162
280	453	1160
281	454	1158
282	456	1156
283	457	1153
284	459	1152
285	460	1150
286	462	1147
287	463	1145
288	464	1143
289	466	1141
290	467	1139
291	468	1137
292	470	1134
293	471	1132
294	472	1129
295	474	1128
296	475	1126
297	477	1124
298	479	1123
299	480	1121
300	482	1119
301	483	1117
302	485	1115
303	486	1113
304	487	1111
305	489	1109
306	490	1107
307	492	1105
308	494	1106
309	496	1105
310	498	1103
311	499	1101
312	500	1099
313	502	1097
314	503	1095
315	505	1093
316	506	1091
317	508	1090
318	509	1088
319	511	1086
320	512	1084
321	513	1082
322	515	1080
323	516	1077
324	517	1074
325	518	1072
326	520	1070
327	521	1068
328	523	1066
329	524	1065
330	526	1064
331	528	1062
332	529	1060
333	530	1058
334	532	1056
335	533	1054
336	534	1052
337	536	1050
338	537	1048
339	538	1046
340	540	1044
341	541	1042
342	543	1040
343	544	1038
344	545	1034
345	546	1033
346	548	1031
347	549	1029
348	550	1027
349	552	1025
350	553	1023
