,신차 구매 지수,고객 충성도 지수,고객 평생 가치,고객 그룹
0,0.0,0.023,779930,EVC
1,0.027,0.284,23907120,EVC
2,0.009,0.048,3442560,EVC
3,0.0,0.035,1793050,EVC
4,0.0,0.033,1618320,EVC
5,0.0,0.034,1707140,EVC
6,0.0,0.081,9762120,EVC
7,0.0,0.07,7273000,EVC
8,0.0,0.031,1417940,EVC
9,0.013,0.447,59155980,EVC
10,0.0,0.056,2339680,EVC
11,0.001,0.023,789590,EVC
12,0.002,0.176,22925760,EVC
13,0.0,0.083,3404660,EVC
14,0.001,0.065,6288100,EVC
15,0.002,0.114,19289940,EVC
16,0.0,0.055,4451150,EVC
17,0.0,0.038,2135600,EVC
18,0.001,0.078,9063600,EVC
19,0.001,0.062,5693460,EVC
20,0.022,0.886,232663600,EVC
21,0.007,0.339,56667240,EVC
22,0.007,0.151,16866700,EVC
23,0.002,0.184,25110480,EVC
24,0.0,0.05,3707500,EVC
25,0.0,0.078,9005100,EVC
26,0.0,0.035,1801800,EVC
27,0.003,0.202,60432340,EVC
28,0.002,0.1,14854000,EVC
29,0.007,0.236,82526840,EVC
30,0.001,0.028,583240,EVC
31,0.001,0.115,19609800,EVC
32,0.002,0.127,23919180,EVC
33,0.007,0.15,33400500,EVC
34,0.0,0.027,1063530,EVC
35,0.003,0.285,120375450,EVC
36,0.001,0.08,9450400,EVC
37,0.001,0.092,12571800,EVC
38,0.002,0.297,65438010,EVC
39,0.001,0.103,15768270,EVC
40,0.002,0.115,19548850,EVC
41,0.005,0.233,40145900,EVC
42,0.0,0.133,26302080,EVC
43,0.001,0.084,10435320,EVC
44,0.005,0.872,225350960,EVC
45,0.0,0.024,853680,EVC
46,0.014,0.654,158326860,EVC
47,0.003,0.794,233523340,EVC
48,0.008,0.375,104216250,EVC
49,0.001,0.205,62330250,EVC
50,0.005,0.635,119386350,EVC
51,0.002,0.317,74441110,EVC
52,0.002,0.458,155252840,EVC
53,0.0,0.024,837600,EVC
54,0.01,0.247,45124430,EVC
55,0.001,0.252,18806760,EVC
56,0.023,1.58,739692800,FMB
57,0.003,0.163,19621940,EVC
58,0.002,0.131,25419240,EVC
59,0.001,0.077,8837290,EVC
60,0.002,0.179,47520920,EVC
61,0.002,0.323,51476510,EVC
62,0.023,0.85,267571500,EVC
63,0.031,0.599,132918100,EVC
64,0.002,0.383,108680080,EVC
65,0.002,0.42,87095400,EVC
66,0.004,0.592,129837440,EVC
67,0.05,0.729,393492330,FMB
68,0.003,0.724,155319720,EVC
69,0.011,1.199,425944750,FMB
70,0.002,0.531,104484870,EVC
71,0.006,0.739,269764560,EVC
72,0.011,0.529,138270020,EVC
73,0.001,0.183,49669860,EVC
74,0.005,1.085,348805800,FMB
75,0.001,0.385,73246250,EVC
76,0.002,0.361,96506130,EVC
77,0.001,0.177,15462720,EVC
78,0.003,0.425,267537500,EVC
79,0.002,0.411,125054970,EVC
80,0.014,0.946,662985180,FMB
81,0.005,0.724,155305240,EVC
82,0.001,0.317,29778980,EVC
83,0.005,0.522,201768660,EVC
84,0.001,0.405,121495950,EVC
85,0.002,0.469,163029090,EVC
86,0.122,0.983,286416710,EVC
87,0.113,0.947,332207600,EVC
88,0.011,1.174,510513900,FMB
89,0.009,0.928,425423040,FMB
90,0.007,1.514,1131820980,BVC
91,0.009,1.308,506836920,FMB
92,0.002,0.46,156763400,EVC
93,0.003,0.748,207196000,EVC
94,0.016,0.462,158179560,EVC
95,0.007,1.063,334759960,EVC
96,0.002,0.495,181467000,EVC
97,0.002,0.35,181594000,EVC
98,0.002,0.549,223217910,EVC
99,0.002,0.576,245808000,EVC
100,0.001,0.407,245412860,EVC
101,0.005,0.713,376727810,FMB
102,0.005,0.812,244111560,EVC
103,0.002,0.459,155922300,EVC
104,0.001,0.16,38030400,EVC
105,0.006,0.864,368694720,FMB
106,0.01,1.614,771895500,FMB
107,0.005,1.41,588900600,FMB
108,0.005,0.782,226412460,EVC
109,0.018,0.95,334077000,EVC
110,0.016,1.616,967369920,BVC
111,0.005,1.228,446869200,FMB
112,0.004,0.176,22888800,EVC
113,0.001,0.228,77070840,EVC
114,0.015,2.19,1420915800,BVC
115,0.01,1.342,666719020,FMB
116,0.002,0.256,97267200,EVC
117,0.015,2.367,1659764070,BVC
118,0.007,1.258,585938660,FMB
119,0.001,0.114,19232940,EVC
120,0.009,1.415,593224600,FMB
121,0.004,0.571,241584390,EVC
122,0.005,1.302,502363680,FMB
123,0.016,2.203,1437942160,BVC
124,0.006,1.084,580265200,FMB
125,0.004,0.601,133806640,EVC
126,0.014,1.857,1021777110,BVC
127,0.005,0.354,92804640,EVC
128,0.006,1.551,712575930,FMB
129,0.005,0.837,345856770,FMB
130,0.002,0.577,246627110,EVC
131,0.231,1.311,636280740,FMB
132,0.004,0.715,378449500,FMB
133,0.006,1.347,671937480,FMB
134,0.103,1.438,612846840,FMB
135,0.005,0.771,440294970,FMB
136,0.003,0.321,152475000,EVC
137,0.015,1.565,1209557200,BVC
138,0.003,0.685,347740250,FMB
139,0.016,1.899,1068643260,BVC
140,0.005,1.3,834353000,FMB
141,0.007,0.42,261122400,EVC
142,0.004,1.162,666465100,FMB
143,0.067,1.695,851262900,FMB
144,0.003,0.45,59931000,EVC
145,0.002,0.629,195241600,EVC
146,0.003,0.362,193919780,EVC
147,0.004,0.796,313011080,EVC
148,0.007,0.488,352697120,FMB
149,0.012,2.779,2287867330,SPC
150,0.07,2.333,2015945300,SPC
151,0.003,0.469,326105080,EVC
152,0.013,0.209,64643700,EVC
153,0.01,2.143,1701049110,SPC
154,0.034,2.606,2012275020,SPC
155,0.004,0.941,437282700,FMB
156,0.001,0.233,40150560,EVC
157,0.003,0.738,403626960,FMB
158,0.002,0.361,193311890,EVC
159,0.002,0.525,408581250,FMB
160,0.003,0.583,251710250,EVC
161,0.008,1.401,969520020,BVC
162,0.008,1.182,689827020,FMB
163,0.001,0.419,260274420,EVC
164,0.001,0.165,40322700,EVC
165,0.013,1.041,534928260,FMB
166,0.006,1.166,1006969260,BVC
167,0.024,2.864,2430018080,SPC
168,0.001,0.325,156458250,EVC
169,0.005,0.934,646010440,FMB
170,0.001,0.239,84548640,EVC
171,0.078,1.964,1428220800,BVC
172,0.015,2.846,2399633360,SPC
173,0.226,0.974,280950300,EVC
174,0.029,1.603,951845370,BVC
175,0.011,0.968,347037680,FMB
176,0.005,1.081,432897260,FMB
177,0.01,1.686,1052603520,BVC
178,0.013,1.407,977400690,BVC
179,0.008,2.133,1347672060,BVC
180,0.013,3.03,2720152200,SPC
181,0.002,0.617,564024380,FMB
182,0.007,0.989,724818320,FMB
183,0.025,1.539,877122270,BVC
184,0.002,0.495,362681550,FMB
185,0.021,2.524,2359208040,SPC
186,0.007,1.637,992529470,BVC
187,0.014,0.904,403491360,FMB
188,0.004,0.812,488296200,FMB
189,0.01,1.303,1257134400,BVC
190,0.012,2.414,1726420380,SPC
191,0.076,2.528,2366637760,SPC
192,0.002,0.555,228093900,EVC
193,0.006,1.589,1247094870,BVC
194,0.011,0.663,651337830,FMB
195,0.004,1.051,818413700,FMB
196,0.006,0.63,588319200,FMB
197,0.002,0.467,323220040,EVC
198,0.023,2.489,1835438380,SPC
199,0.027,2.798,2319234220,SPC
200,0.004,0.877,569550110,FMB
201,0.002,0.528,413365920,FMB
202,0.015,2.642,2068342540,SPC
203,0.01,1.678,834419060,FMB
204,0.023,1.363,1375893980,BVC
205,0.014,1.233,1126468800,BVC
206,0.012,1.974,1924314420,SPC
207,0.005,1.294,826697780,FMB
208,0.051,0.945,330787800,EVC
209,0.016,3.278,3183134680,RSC
210,0.007,1.687,1405102300,BVC
211,0.034,1.14,481251000,FMB
212,0.012,2.826,2365898940,SPC
213,0.005,1.005,498520200,FMB
214,0.007,1.414,1480458000,BVC
215,0.016,3.774,4219558440,RSC
216,0.005,0.716,759733280,FMB
217,0.11,0.741,812988150,FMB
218,0.003,0.765,433586700,FMB
219,0.002,0.313,145028550,EVC
220,0.015,1.675,1385643750,BVC
221,0.072,2.186,2359218640,SPC
222,0.002,0.589,513802370,FMB
223,0.008,1.996,1967537040,SPC
224,0.023,3.806,4291950080,RSC
225,0.003,0.373,206201860,EVC
226,0.003,0.43,273729400,EVC
227,0.003,0.693,711738720,FMB
228,0.013,2.364,2759804520,SPC
229,0.01,1.209,721809270,FMB
230,0.004,0.75,833242500,FMB
231,0.053,3.855,4402332900,RSC
232,0.006,1.554,1788622920,SPC
233,0.273,0.955,675624300,FMB
234,0.039,4.109,5001598070,EVS
235,0.037,3.297,4025406210,RSC
236,0.005,0.808,967466880,BVC
237,0.057,3.442,3509532040,RSC
238,0.008,2.084,1608347840,BVC
239,0.022,3.07,2791888700,SPC
240,0.037,1.58,924616000,BVC
241,0.008,1.575,1224641250,BVC
242,0.003,0.718,763772500,FMB
243,0.122,2.523,3143102940,RSC
244,0.012,0.548,444477320,FMB
245,0.002,0.433,277873420,EVC
246,0.005,0.857,1087815810,BVC
247,0.008,1.464,1058457360,BVC
248,0.003,0.905,606766300,FMB
249,0.032,1.7,2141099000,SPC
250,0.009,2.59,2484535200,SPC
251,0.017,1.605,1908312900,SPC
252,0.092,1.733,1111910130,BVC
253,0.012,2.746,3723411240,RSC
254,0.004,0.873,1128570750,BVC
255,0.05,0.608,547418880,FMB
256,1.0,2.426,1743954360,SPC
257,0.023,0.363,195148800,EVC
258,0.01,1.981,1162926240,BVC
259,0.003,0.666,657048960,FMB
260,0.013,3.453,3532315410,RSC
261,0.025,4.606,6285762140,EVS
262,0.009,1.815,2439414450,SPC
263,0.134,1.332,875949840,BVC
264,0.01,1.556,1195272520,BVC
265,0.017,3.368,3360994560,RSC
266,0.087,4.7,6543998000,EVS
