iter	Passed	Remaining
0	2	2617
1	3	1624
2	5	1710
3	6	1673
4	7	1532
5	9	1602
6	11	1598
7	12	1600
8	14	1606
9	16	1641
10	17	1572
11	19	1573
12	20	1567
13	22	1565
14	23	1567
15	25	1569
16	27	1569
17	27	1522
18	29	1529
19	30	1497
20	32	1497
21	33	1471
22	34	1474
23	36	1475
24	37	1476
25	39	1481
26	41	1487
27	42	1489
28	44	1489
29	44	1450
30	46	1452
31	48	1456
32	49	1459
33	51	1469
34	53	1472
35	55	1473
36	56	1474
37	57	1458
38	59	1458
39	59	1426
40	61	1428
41	62	1414
42	63	1416
43	65	1418
44	66	1420
45	67	1400
46	69	1401
47	70	1402
48	72	1403
49	72	1384
50	73	1367
51	74	1351
52	75	1352
53	77	1353
54	78	1354
55	80	1357
56	82	1364
57	84	1365
58	85	1366
59	87	1367
60	88	1369
61	91	1376
62	92	1378
63	94	1379
64	95	1379
65	97	1379
66	99	1380
67	100	1380
68	102	1380
69	103	1380
70	104	1372
71	106	1372
72	108	1372
73	109	1371
74	111	1371
75	111	1358
76	113	1359
77	115	1359
78	116	1358
79	118	1358
80	119	1359
81	121	1359
82	123	1360
83	124	1360
84	126	1361
85	128	1361
86	129	1361
87	131	1361
88	133	1361
89	134	1362
90	136	1362
91	137	1361
92	139	1361
93	141	1361
94	143	1363
95	144	1357
96	145	1358
97	147	1357
98	149	1359
99	151	1364
100	153	1366
101	155	1367
102	157	1367
103	159	1376
104	161	1376
105	163	1375
106	164	1374
107	166	1374
108	167	1373
109	169	1372
110	171	1371
111	172	1370
112	174	1373
113	176	1372
114	177	1365
115	179	1364
116	180	1363
117	182	1361
118	183	1361
119	185	1361
120	187	1360
121	188	1359
122	190	1358
123	192	1357
124	193	1356
125	195	1355
126	197	1355
127	198	1354
128	200	1353
129	202	1352
130	203	1351
131	205	1350
132	206	1349
133	208	1347
134	210	1346
135	211	1345
136	213	1343
137	214	1342
138	216	1341
139	218	1340
140	219	1340
141	221	1339
142	223	1338
143	225	1338
144	226	1336
145	228	1335
146	229	1333
147	231	1332
148	233	1331
149	234	1330
150	236	1328
151	237	1327
152	239	1325
153	241	1324
154	242	1323
155	244	1321
156	245	1320
157	247	1319
158	249	1318
159	250	1317
160	252	1315
161	254	1314
162	255	1313
163	257	1313
164	259	1311
165	260	1310
166	262	1309
167	264	1308
168	266	1307
169	267	1306
170	269	1305
171	270	1303
172	272	1302
173	274	1300
174	275	1299
175	277	1297
176	278	1296
177	280	1295
178	282	1294
179	283	1293
180	285	1291
181	287	1290
182	288	1289
183	290	1287
184	291	1286
185	293	1284
186	295	1283
187	296	1281
188	298	1280
189	300	1279
190	301	1277
191	303	1276
192	305	1275
193	306	1274
194	308	1272
195	309	1271
196	311	1270
197	313	1268
198	314	1267
199	316	1265
200	318	1264
201	319	1262
202	321	1261
203	322	1260
204	324	1258
205	326	1257
206	327	1256
207	329	1254
208	331	1253
209	332	1249
210	333	1248
211	335	1246
212	337	1245
213	338	1243
214	340	1242
215	341	1241
216	343	1239
217	345	1238
218	346	1237
219	348	1235
220	350	1233
221	351	1232
222	353	1231
223	354	1229
224	356	1228
225	358	1227
226	359	1225
227	361	1224
228	363	1222
229	364	1221
230	366	1220
231	368	1218
232	370	1218
233	371	1216
234	373	1215
235	375	1215
236	377	1214
237	379	1213
238	380	1212
239	382	1211
240	384	1211
241	386	1209
242	387	1208
243	389	1206
244	391	1205
245	392	1204
246	394	1202
247	396	1201
248	397	1199
249	399	1198
250	401	1196
251	402	1195
252	404	1193
253	405	1191
254	407	1190
255	409	1189
256	410	1187
257	412	1186
258	414	1184
259	415	1183
260	417	1182
261	419	1181
262	421	1180
263	422	1178
264	424	1176
265	425	1175
266	427	1173
267	429	1172
268	430	1171
269	432	1169
270	434	1168
271	435	1166
272	437	1165
273	439	1163
274	440	1162
275	442	1160
276	444	1159
277	445	1157
278	447	1156
279	449	1155
280	451	1153
281	452	1152
282	454	1151
283	456	1149
284	457	1148
285	459	1146
286	461	1145
287	462	1143
288	464	1142
289	465	1139
290	466	1137
291	468	1136
292	470	1134
293	471	1132
294	473	1131
295	475	1129
296	476	1128
297	478	1126
298	479	1124
299	481	1123
300	483	1122
301	484	1120
302	486	1119
303	488	1117
304	489	1116
305	491	1114
306	493	1112
307	494	1111
308	496	1109
309	497	1108
310	499	1107
311	501	1105
312	502	1103
313	504	1102
314	506	1100
315	507	1098
316	509	1097
317	510	1095
318	512	1093
319	514	1092
320	515	1090
321	517	1089
322	518	1087
323	520	1086
324	522	1084
325	522	1080
326	524	1079
327	525	1077
328	527	1076
329	529	1074
330	530	1073
331	532	1071
332	534	1069
333	535	1068
334	537	1066
335	539	1065
336	540	1063
337	542	1062
338	543	1060
339	545	1059
340	547	1057
341	548	1056
342	550	1054
343	552	1052
344	553	1051
345	555	1050
346	556	1046
347	557	1045
348	559	1043
349	561	1042
350	562	1040
351	564	1038
352	565	1037
353	567	1035
354	569	1034
355	570	1032
356	572	1031
357	574	1029
358	575	1027
359	577	1026
360	578	1024
361	580	1023
362	582	1021
363	583	1020
364	585	1018
365	587	1017
366	588	1015
367	590	1013
368	592	1012
369	593	1011
370	595	1009
371	597	1007
372	598	1006
373	600	1005
374	602	1003
375	603	1001
376	605	1000
377	607	999
378	608	997
379	610	996
380	612	995
381	614	994
382	616	993
383	618	991
384	620	990
385	621	988
386	624	989
387	626	988
388	628	987
389	630	986
390	632	984
391	634	983
392	635	982
393	637	980
394	639	978
395	640	977
396	642	975
397	644	974
398	645	972
399	647	971
400	649	969
401	650	968
402	652	966
403	654	964
404	655	963
405	657	961
406	659	960
407	660	958
408	662	957
409	664	955
410	665	954
411	667	952
412	669	950
413	670	949
414	672	947
415	673	946
416	675	944
417	677	942
418	677	939
419	679	938
420	681	936
421	682	934
422	684	933
423	685	931
424	687	930
425	689	928
426	689	925
427	691	924
428	693	922
429	695	921
430	696	920
431	698	918
432	700	917
433	701	915
434	703	913
435	705	912
436	706	910
437	708	908
438	709	907
439	711	905
440	713	903
441	714	902
442	716	900
443	718	899
444	719	897
445	721	895
446	722	894
447	724	892
448	726	891
449	727	889
450	729	887
451	730	885
452	731	883
453	733	882
454	735	880
455	736	878
456	738	877
457	740	876
458	741	874
459	743	872
460	745	871
461	746	869
462	748	868
463	750	867
464	751	864
465	753	863
466	755	861
467	756	860
468	758	858
469	760	857
470	761	855
471	763	853
472	764	852
473	766	850
474	768	849
475	769	847
476	771	845
477	772	844
478	774	842
479	776	840
480	777	839
481	779	837
482	781	836
483	782	834
484	784	832
485	786	831
486	787	829
487	789	828
488	790	826
489	792	824
490	794	823
491	795	821
492	797	820
493	799	818
494	800	816
495	801	814
496	802	811
497	803	810
498	805	808
499	807	807
500	809	805
501	810	804
502	812	802
503	814	801
504	816	799
505	817	798
506	819	796
507	820	794
508	822	793
509	824	791
510	825	790
511	827	788
512	829	787
513	830	785
514	832	783
515	834	782
516	835	780
517	837	779
518	838	777
519	840	775
520	842	774
521	843	772
522	845	771
523	847	769
524	855	774
525	857	772
526	859	771
527	860	769
528	862	767
529	864	766
530	865	764
531	867	763
532	869	761
533	870	759
534	872	758
535	874	756
536	876	755
537	878	754
538	879	752
539	881	751
540	883	749
541	885	747
542	886	746
543	888	744
544	889	742
545	891	741
546	893	739
547	894	738
548	896	736
549	898	734
550	899	733
551	901	731
552	902	729
553	903	727
554	905	726
555	907	724
556	908	722
557	910	721
558	912	719
559	913	717
560	915	716
561	916	714
562	918	712
563	920	711
564	921	709
565	923	707
566	924	706
567	926	704
568	928	703
569	929	701
570	931	699
571	932	698
572	933	695
573	935	694
574	937	692
575	938	690
576	940	689
577	942	687
578	943	686
579	945	684
580	947	683
581	948	681
582	950	679
583	951	678
584	953	676
585	955	674
586	956	673
587	958	671
588	960	669
589	961	668
590	963	666
591	963	664
592	965	662
593	967	661
594	968	659
595	970	657
596	972	656
597	973	654
598	975	652
599	976	651
600	978	649
601	980	648
602	981	646
