iter	Passed	Remaining
0	55	55543
1	57	28756
2	59	19765
3	61	15255
4	62	12494
5	64	10648
6	65	9314
7	66	8299
8	68	7529
9	69	6910
10	71	6418
11	72	5988
12	74	5624
13	75	5312
14	76	5048
15	77	4783
16	79	4590
17	80	4402
18	81	4205
19	83	4067
20	83	3909
21	85	3790
22	86	3680
23	88	3580
24	89	3485
25	90	3398
26	92	3337
27	94	3274
28	94	3169
29	96	3110
30	97	3056
31	99	2997
32	100	2944
33	101	2893
34	103	2843
35	104	2803
36	105	2746
37	106	2702
38	107	2640
39	108	2603
40	109	2556
41	110	2522
42	111	2489
43	113	2457
44	113	2410
45	114	2384
46	116	2357
47	118	2343
48	118	2305
49	119	2266
50	119	2229
51	121	2207
52	122	2186
53	123	2169
54	125	2151
55	126	2134
56	127	2117
57	129	2103
58	130	2086
59	132	2070
60	133	2055
61	134	2040
62	136	2026
63	137	2012
64	138	1999
65	140	1985
66	141	1972
67	142	1959
68	144	1945
69	145	1927
70	146	1914
71	147	1903
72	148	1891
73	150	1879
74	150	1858
75	151	1847
76	153	1836
77	154	1826
78	155	1816
79	157	1807
80	158	1798
81	159	1788
82	161	1779
83	162	1770
84	163	1761
85	164	1752
86	166	1744
87	167	1736
88	168	1728
89	170	1720
90	171	1712
91	172	1704
92	174	1697
93	175	1689
94	176	1676
95	177	1669
96	178	1662
97	179	1656
98	181	1649
99	182	1643
100	183	1636
101	185	1630
102	186	1623
103	187	1617
104	189	1611
105	190	1606
106	191	1600
107	193	1596
108	194	1590
109	195	1585
110	197	1579
111	198	1573
112	199	1568
113	201	1562
114	202	1556
115	203	1551
116	204	1547
117	206	1542
118	207	1537
119	209	1533
120	210	1528
121	211	1523
122	213	1518
123	214	1514
124	215	1509
125	216	1505
126	217	1493
127	218	1489
128	219	1484
129	221	1480
130	222	1476
131	223	1472
132	225	1468
133	226	1465
134	228	1462
135	229	1458
136	230	1453
137	232	1450
138	233	1446
139	234	1442
140	236	1441
141	237	1437
142	239	1433
143	240	1430
144	242	1426
145	243	1423
146	244	1420
147	246	1416
148	247	1414
149	249	1411
150	250	1410
151	252	1407
152	253	1403
153	255	1400
154	257	1401
155	258	1398
156	259	1395
157	261	1392
158	262	1389
159	264	1386
160	265	1382
161	266	1379
162	267	1375
163	269	1372
164	270	1369
165	272	1366
166	273	1363
167	274	1359
168	275	1356
169	277	1353
170	278	1350
171	279	1347
172	281	1344
173	282	1341
174	283	1338
175	285	1335
176	286	1332
177	288	1330
178	289	1327
179	290	1324
180	292	1321
181	293	1318
182	294	1315
183	296	1312
184	297	1309
185	298	1306
186	299	1303
187	301	1300
188	302	1297
189	303	1294
190	305	1292
191	306	1289
192	307	1286
193	308	1283
194	310	1280
195	311	1278
196	312	1275
197	314	1273
198	316	1273
199	317	1270
200	319	1268
201	320	1265
202	321	1262
203	323	1260
204	324	1257
205	325	1255
206	327	1253
207	328	1250
208	329	1248
209	331	1246
210	332	1243
211	333	1238
212	334	1235
213	335	1233
214	337	1231
215	338	1228
216	339	1226
217	341	1223
218	342	1221
219	343	1218
220	344	1216
221	346	1213
222	347	1211
223	348	1208
224	350	1206
225	351	1204
226	352	1201
227	354	1199
228	355	1196
229	356	1194
230	358	1192
231	359	1189
232	360	1187
233	362	1185
234	363	1183
235	364	1180
236	366	1178
237	367	1176
238	368	1174
239	370	1172
240	371	1170
241	372	1167
242	374	1165
243	375	1163
244	376	1161
245	378	1158
246	379	1156
247	380	1154
248	381	1151
249	383	1149
250	384	1147
251	385	1145
252	387	1143
253	388	1140
254	389	1138
255	391	1136
256	392	1134
257	393	1132
258	395	1130
259	396	1127
260	397	1125
261	398	1123
262	400	1121
263	401	1119
264	402	1117
265	404	1115
266	405	1113
267	406	1111
268	408	1108
269	409	1107
270	411	1105
271	412	1103
272	413	1101
273	415	1099
274	416	1097
275	417	1095
276	418	1093
277	420	1091
278	421	1089
279	422	1087
280	424	1085
281	425	1083
282	426	1081
283	428	1079
284	429	1077
285	430	1075
286	432	1074
287	433	1072
288	435	1070
289	436	1068
290	437	1066
291	438	1064
292	440	1062
293	441	1060
294	443	1058
295	444	1056
296	445	1054
297	446	1052
298	448	1050
299	449	1048
300	450	1047
301	452	1045
302	453	1043
303	454	1041
304	456	1039
305	457	1037
306	458	1035
307	460	1034
308	461	1032
309	462	1030
310	464	1028
